gene_id	colors
LOC102903073	grey
LOC102904318	darkgreen
Ppp2r1a	blue
LOC102906476	greenyellow
LOC102922856	grey
LOC102912116	grey
Ppp4r2	lightyellow
Myadm	yellow
LOC107402623	tan
Cacng6	midnightblue
LOC102905587	grey60
C1H18orf32	tan
LOC102905242	turquoise
LOC102906083	turquoise
LOC102922988	turquoise
LOC102906795	grey
LOC102906185	black
LOC102925029	grey
LOC102925654	darkgreen
LOC121820875	turquoise
LOC121825828	greenyellow
Leng8	grey
Znf787	red
Znf444	red
LOC102915833	grey
Peg3	turquoise
Epn1	red
U2af2	grey
Znf784	grey
Znf524	red
Fiz1	greenyellow
Nat14	turquoise
LOC102908074	turquoise
Ube2s	grey
Rpl28	cyan
Kmt5c	lightgreen
Hspbp1	grey
Ppp6r1	red
Ppp5c	red
Calm3	blue
Dact3	darkturquoise
Strn4	red
LOC102927966	grey
Slc1a5	green
Ap2s1	grey
Arhgap35	red
Tmem160	tan
Zc3h4	greenyellow
Sae1	grey
Inafm1	grey
Kptn	grey
Napa	grey
Bicra	blue
Ehd2	green
Nop53	black
Selenow	greenyellow
Ethe1	grey
Xrcc1	grey
Irgq	midnightblue
Znf428	grey
Smg9	grey
LOC102914921	grey
Bcam	grey
Nectin2	grey
Tomm40	grey
Apoe	brown
Clptm1	red
Relb	brown
LOC102909357	grey
Ppp1r37	greenyellow
Trappc6a	turquoise
Mark4	lightyellow
Ckm	darkolivegreen
Ercc2	grey60
Polr1g	midnightblue
Ercc1	red
Trnastop-uca	yellow
Rtn2	midnightblue
LOC102917914	brown
Opa3	grey
Snrpd2	grey
Qpctl	turquoise
Dmpk	grey
Dmwd	midnightblue
Sympk	red
Irf2bp1	darkgrey
LOC102925852	lightgreen
Pglyrp1	green
LOC102923052	steelblue
LOC121828709	blue
Lig1	darkgreen
Zswim9	tan
Ube2m	midnightblue
Chmp2a	purple
Trim28	darkgrey
Zbtb45	grey
Rps5	cyan
Znf274	grey
Znf606	salmon
LOC102918812	salmon
Rps19	cyan
Cd79a	brown
Arhgef1	brown
Rabac1	turquoise
Znf574	magenta
Dedd2	grey
Erf	grey
Cic	black
Pafah1b3	grey
Megf8	darkgrey
Lipe	green
Dmac2	red
Bckdha	red
Exosc5	cyan
Ccdc97	grey
Hnrnpul1	grey
Axl	lightcyan
LOC102925039	green
Egln2	black
Rab4b	brown
Snrpa	grey
Itpkc	grey
Coq8b	violet
Numbl	grey
Ltbp4	lightcyan
Blvrb	yellow
Sertad3	grey
Sertad1	grey
Hipk4	salmon
Pld3	darkred
C1H19orf47	tan
Akt2	red
Map3k10	red
Znf780a	darkred
LOC102913382	royalblue
Psmc4	red
Fbl	grey
Dyrk1b	red
Eid2	grey
Eid2b	grey
Timm50	magenta
Supt5h	midnightblue
LOC102921833	grey
Papss2	cyan
Atad1	turquoise
Pten	brown
Rnls	darkgreen
LOC102914354	yellow
LOC102914973	grey
Etfb	grey
Ctu1	grey
Klk1	tan
Acp4	brown
Josd2	grey
LOC121828150	salmon
Mybpc2	greenyellow
Nr1h2	grey
Kcnc3	grey
Myh14	midnightblue
Vrk3	turquoise
Atf5	tan
Nup62	blue
Tbc1d17	royalblue
Akt1s1	red
LOC102908680	turquoise
Ptov1	red
Med25	grey
Prmt1	salmon
Irf3	brown
Scaf1	grey
Rras	grey
Prr12	royalblue
Prrg2	grey
LOC102914559	magenta
Rcn3	lightcyan
Fcgrt	brown
Rps11	grey
Rpl13a	cyan
Flt3lg	black
Aldh16a1	brown
Pih1d1	grey
Trpm4	grey
Hrc	midnightblue
Snrnp70	orange
Kcna7	red
Ruvbl2	magenta
Gys1	darkolivegreen
Ftl	yellow
Bax	darkred
Gmfg	brown
Samd4b	pink
Med29	grey
Zfp36	violet
LOC102903628	cyan
LOC102916677	pink
C1H19orf12	blue
Uri1	darkmagenta
Znf507	grey
Pdcd5	midnightblue
Ankrd27	grey
Nudt19	grey
Rpsap58	black
Cep89	darkmagenta
Gpatch1	grey
Lrp3	tan
Cebpa	green
Cebpg	tan
Pepd	grey
Kctd15	greenyellow
Garre1	grey
Gpi	greenyellow
Pdcd2l	grey
Uba2	brown
LOC102927739	grey
Gramd1a	skyblue
Scn1b	red
Hpn	blue
Fxyd3	green
Fxyd1	magenta
Usf2	red
Dmkn	green
Tmem147	magenta
Rbm42	grey
LOC102922269	magenta
Kmt2b	turquoise
U2af1l4	grey
Psenen	grey
Hspb6	grey
Proser3	lightgreen
Aplp1	red
LOC102916523	brown
Sdhaf1	darkgreen
Alkbh6	grey
Polr2i	grey
Tbcb	grey
Capns1	purple
LOC102913206	magenta
Znf146	grey
LOC102912682	tan
Znf260	lightcyan
Znf568	darkgreen
