mouse_id,population,family,sex,acclim1,acclimation,po2,temp,mass,vo2,vo2_mass,vo2.res,vco2,vco2_mass,tv_btps,tv_btps_mass,tv_stp,frequency,total_vent,total_vent_mass,total_vent_stp,total_vent_mass_stp,pulmonary_extraction,arterial_sat,hr,o2_pulse,venous_content,hb,ca02,av_diff,ox_extraction_ratio,co,co_mass,sv,sv_uL,sv_ul_g,o2_delivery,venous_sat,hct,mean_cell_hb,pco2,ph,bicarb_6.1,bicarb_6.08,glu,lac
LN.F1.113.2ai,LN,LN113,F,3,CH,hypox,cold,14.06,3.85776688,0.274378868,0.658040357,2.448235048,0.174127671,15.82480084,0.015824801,15.63049868,474.165208,105.5001939,7.503569982,104.2048275,7.411438656,0.30850833,83.913,563.02,0.006851918,,20.09,,,,,,,,,,,0.4534,,,,,,,
LN.F1.113.3aj,LN,LN113,F,3,CH,hypox,cold,17.45,4.144089206,0.237483622,0.749013477,3.084720245,0.176774799,15.24782346,0.015247823,15.0194047,439.3240242,116.8929286,6.698735165,115.1418237,6.598385315,0.299926435,82.746,572.69,0.007236182,,20.53,,,,,,,,,,,0.558,,,,,,,
LN.F1.113.aa,LN,LN113,M,3,CH,hypox,cold,27.6,4.297738248,0.155715154,0.317767405,3.163420819,0.114616696,7.021499395,0.007021499,6.375289198,546.0541495,105.8216811,3.83411888,96.08258614,3.481253121,0.368586135,,,,3.54,13.37,,,,,,,,,,26.47718773,0.681106767,0.050942915,40,7.55,33.82059518,35.41451072,8.9,2.4
LN.F1.113.ae,LN,LN113,M,3,CH,hypox,cold,19.8,4.297738248,0.217057487,0.767243453,3.163420819,0.159768728,15.34105107,0.015341051,13.82865832,447.0679465,135.7981456,6.858492201,122.4105276,6.182349879,0.289310974,87.74,669,0.006424123,2.544,22.56,27.51386016,24.96986016,0.907537511,17.21170331,0.869277945,0.001299369,25.72750868,1.299369125,23.91719182,11.27659574,0.715194261,0.031701873,32.6,7.33,16.60882292,17.39157263,9.8,3.1
LN.F1.113.af,LN,LN113,M,3,CH,hypox,cold,19.7,4.424260858,0.224353999,0.899528577,3.252873743,0.16495303,13.86382575,0.013863826,12.59662959,442.9344043,121.0958937,6.140765402,110.0273579,5.579480626,0.331458711,,no pulse ox,,,,,,,,,,,,,,,,,,,,,
LN.F1.113.ag,LN,LN113,M,3,CH,hypox,cold,26.23,5.04259211,0.216049362,1.141567701,3.715658885,0.159197039,6.978928077,0.006978928,6.215955973,472.8555064,79.86059459,3.30002457,71.12982603,2.939249009,0.538081205,,no pulse ox,,2.54,21.15,,,,,,,,,,,0.744889071,0.035219341,,7.3,,,7.3,2.9
LN.F1.113.ah,LN,LN113,F,3,CH,hypox,cold,15.35,4.167780181,0.271516624,0.893717235,2.860943147,0.186380661,20.20736899,0.020207369,19.93346472,364.2888474,112.9962491,7.361319159,111.4646219,7.261538886,0.311592153,81.92083333,520.7010309,0.008004171,,17.14,,,,,,,,,,,0.5694,,,,,,,
LN.F1.113.ak,LN,LN113,F,0,N,norm,warm,15.92,2.663013568,0.167274722,-0.643895705,1.923833261,0.120843798,12.92814778,0.012928148,11.67680436,356.9634085,73.4688211,4.614875697,66.35761482,4.168191886,0.33251825,,,,1.989808265,19.137,,,,,,,,,,10.39770217,0.415558501,0.021714924,41.5,7.27,18.41489943,19.28276691,8.7,5.1
LN.F1.113.al,LN,LN113,F,0,N,norm,warm,24.4,2.962482054,0.121413199,-0.833088359,2.199569844,0.090146305,14.50160423,0.014501604,13.47934882,347.6238836,123.0029372,5.041103983,114.3321435,4.685743586,0.21392604,90.93774834,415.9470199,0.000291896,2.2777,20.52,25.93799208,23.66029208,0.912186726,12.52090229,0.513151733,0.001233695,30.10215651,1.233694939,13.3101256,11.09990253,0.5215,0.02541423,41.9,7.22,16.5704872,17.35143021,7,7.4
LN.F1.113.am,LN,LN113,F,0,N,norm,warm,18,2.388394506,0.132688584,-1.038375047,1.823744106,0.101319117,12.78314993,0.01278315,11.6330545,325.8852307,74.98511577,4.165839765,68.23873169,3.79104065,0.289180443,84.34539474,498.6118421,0.000266116,2.654,17.87,20.95080563,18.29680563,0.873322294,13.05361468,0.725200815,0.00145444,26.17991306,1.454439615,15.19354133,14.85170677,0.58594,0.032789032,52,7.168,18.2441905,19.10401271,7,9.6
LN.F1.113.av,LN,LN113,M,1,H,hypox,warm,19.62,3.174703547,0.161809559,-0.345418723,2.278457071,0.11612931,12.5064004,0.0125064,12.40063286,328.6023111,80.63098134,4.109632077,79.94907923,4.074876617,0.330908913,88.23,407.67,0.007787435,,16.539894,,,,,,,,,,,0.482132441,,,,,,,
LN.F1.113.b,LN,LN113,M,2,C,norm,cold,22.84,3.546817107,0.155289716,-0.158858096,2.955012746,0.129378842,14.36890696,0.014368907,14.20839491,369.2091022,121.1691975,5.305131238,119.8156417,5.245868727,0.246685732,77.483,562.38,0.006306798,,14.069088,,,,,,,,,,,0.459537452,,,,,,,
LN.F1.113.bg.1,LN,LN113,M,0,N,norm,warm,20.79,2.417510493,0.116282371,-1.170033185,1.759592708,0.084636494,13.29086638,0.013290866,13.06349064,258.0817421,71.31240167,3.430129951,70.09241272,3.371448423,0.287419422,75.84807692,520.59,0.000223367,,17.521881,,,,,,,,,,,0.425814153,,,,,,,
LN.F1.113.bg.2,LN,LN113,M,1,H,hypox,warm,19.56,3.216290802,0.164432045,-0.30037396,2.411668861,0.123295954,14.88610116,0.014886101,14.82839354,325.5720697,94.79751582,4.846498764,94.43002274,4.827710774,0.283833706,78.464,409.46,0.007854957,,19.3433085,,,,,,,,,,,0.538491256,,,,,,,
LN.F1.113.p,LN,LN113,F,2,C,norm,cold,18.65,2.833138432,0.151910908,-0.631087458,2.528712756,0.135587815,12.44540404,0.012445404,12.32004293,295.1510239,68.50655536,3.673273746,67.81649675,3.636273284,0.348137814,74.466,574.46,0.004931829,,9.064122,,,,,,,,,,,0.475746577,,,,,,,
LN.F1.113.z,LN,LN113,M,3,CH,hypox,cold,21.4,4.909916248,0.229435339,1.287221238,3.414633005,0.15956229,9.975614635,0.009975615,9.018683302,525.4527332,112.1726791,5.241713975,101.4122843,4.738891791,0.399678515,85.46,658,0.007461879,2.54,21.9,26.0148786,23.4748786,0.902363565,20.91561934,0.97736539,0.001485358,31.78665553,1.485357735,25.42604196,11.59817352,0.600057869,0.027399903,37.3,7.3,17.73495482,18.57077749,7.9,4
LN.F1.132.2as,LN,LN132,M,0,N,norm,warm,28.51,2.808894851,0.098523145,-1.223514865,2.511504124,0.088092042,16.00923932,0.016009239,15.68662884,376.6912317,171.9306977,6.030540079,168.4660331,5.90901554,0.138944668,72.47852349,514.9489051,0.000191326,,16.444863,,,,,,,,,,,0.471221872,,,,,,,
LN.F1.132.2ay,LN,LN132,F,1,H,hypox,warm,21.45,3.706102112,0.172778653,0.080525846,2.594628385,0.120961696,12.85606463,0.012856065,12.64092775,475.5434897,131.1371026,6.113617839,128.9426187,6.011310894,0.239518823,83.52272727,501.31,0.007392835,,18.44,,,,,,,,,,,0.4721,,,,,,,
LN.F1.132.af,LN,LN132,M,2,C,norm,cold,18.44,2.867879446,0.155524916,-0.584245166,2.399711003,0.130136172,13.33892273,0.013338923,13.19197919,376.5186074,92.61218212,5.02235261,91.59195265,4.967025632,0.260928987,71.52,468.49,0.006121538,,15.019398,,,,,,,,,,,0.466335759,,,,,,,
