"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","3.52897643248e-19","4300","1006","393","0.39065606361829","0.0913953488372093","GO:0044260","GO:BP","cellular macromolecule metabolic process","16835","12699","c(""GO:0043170"", ""GO:0044237"")"
"query_1","TRUE","9.23944753578318e-17","4936","1006","427","0.424453280318091","0.0865072933549433","GO:1901564","GO:BP","organonitrogen compound metabolic process","16835","24853","c(""GO:0006807"", ""GO:0071704"")"
"query_1","TRUE","1.72226685735563e-14","3625","1006","330","0.328031809145129","0.0910344827586207","GO:0044267","GO:BP","cellular protein metabolic process","16835","12703","c(""GO:0019538"", ""GO:0044260"")"
"query_1","TRUE","2.34155761487408e-12","2786","1006","263","0.261431411530815","0.0944005743000718","GO:0043412","GO:BP","macromolecule modification","16835","12301","GO:0043170"
"query_1","TRUE","4.38096107394721e-12","2647","1006","252","0.250497017892644","0.0952021156025689","GO:0036211","GO:BP","protein modification process","16835","10936","c(""GO:0019538"", ""GO:0043412"")"
"query_1","TRUE","4.38096107394721e-12","2647","1006","252","0.250497017892644","0.0952021156025689","GO:0006464","GO:BP","cellular protein modification process","16835","2443","c(""GO:0036211"", ""GO:0044267"")"
"query_1","TRUE","8.9658624687524e-12","4222","1006","360","0.357852882703777","0.0852676456655613","GO:0019538","GO:BP","protein metabolic process","16835","6769","c(""GO:0043170"", ""GO:0044238"", ""GO:1901564"")"
"query_1","TRUE","1.01343551398691e-10","1599","1006","169","0.167992047713718","0.105691056910569","GO:0009056","GO:BP","catabolic process","16835","3659","GO:0008152"
"query_1","TRUE","1.51039516387851e-10","1377","1006","151","0.150099403578529","0.109658678286129","GO:0044248","GO:BP","cellular catabolic process","16835","12691","c(""GO:0009056"", ""GO:0044237"")"
"query_1","TRUE","4.37553790117847e-09","4068","1006","338","0.335984095427435","0.0830875122910521","GO:0031323","GO:BP","regulation of cellular metabolic process","16835","8255","c(""GO:0019222"", ""GO:0044237"", ""GO:0050794"")"
"query_1","TRUE","9.45736571614478e-09","1912","1006","186","0.184890656063618","0.0972803347280335","GO:0051641","GO:BP","cellular localization","16835","16000","c(""GO:0009987"", ""GO:0051179"")"
"query_1","TRUE","1.01107390329988e-08","4472","1006","363","0.360834990059642","0.0811717352415027","GO:0051179","GO:BP","localization","16835","15648","GO:0008150"
"query_1","TRUE","3.93086947017051e-08","9467","1006","666","0.662027833001988","0.0703496355762121","GO:0044237","GO:BP","cellular metabolic process","16835","12684","c(""GO:0008152"", ""GO:0009987"")"
"query_1","TRUE","1.78418748777355e-07","3972","1006","324","0.3220675944334","0.081570996978852","GO:0080090","GO:BP","regulation of primary metabolic process","16835","20855","c(""GO:0019222"", ""GO:0044238"")"
"query_1","TRUE","2.27966356570757e-07","4759","1006","375","0.372763419483101","0.0787980668207607","GO:0019222","GO:BP","regulation of metabolic process","16835","6474","c(""GO:0008152"", ""GO:0050789"")"
"query_1","TRUE","5.44391565403064e-07","1557","1006","153","0.152087475149105","0.0982658959537572","GO:0008104","GO:BP","protein localization","16835","3529","GO:0033036"
"query_1","TRUE","5.50520699471356e-07","990","1006","109","0.108349900596421","0.11010101010101","GO:0046907","GO:BP","intracellular transport","16835","14442","c(""GO:0006810"", ""GO:0051641"", ""GO:0051649"")"
"query_1","TRUE","5.86484088901623e-07","1532","1006","151","0.150099403578529","0.0985639686684073","GO:0032268","GO:BP","regulation of cellular protein metabolic process","16835","8640","c(""GO:0031323"", ""GO:0044267"", ""GO:0051246"")"
"query_1","TRUE","5.92526978697615e-07","1348","1006","137","0.136182902584493","0.101632047477745","GO:1901575","GO:BP","organic substance catabolic process","16835","24863","c(""GO:0009056"", ""GO:0071704"")"
"query_1","TRUE","7.62807801563578e-07","1658","1006","160","0.159045725646123","0.0965018094089264","GO:0051246","GO:BP","regulation of protein metabolic process","16835","15701","c(""GO:0019538"", ""GO:0051171"", ""GO:0060255"", ""GO:0080090"")"
"query_1","TRUE","1.40706572435809e-06","1876","1006","175","0.173956262425447","0.0932835820895522","GO:0033036","GO:BP","macromolecule localization","16835","9203","GO:0051179"
"query_1","TRUE","1.6685605203738e-06","4244","1006","337","0.334990059642147","0.0794062205466541","GO:1901576","GO:BP","organic substance biosynthetic process","16835","24864","c(""GO:0009058"", ""GO:0071704"")"
"query_1","TRUE","2.07598686980557e-06","3917","1006","315","0.313121272365805","0.0804186877712535","GO:0048522","GO:BP","positive regulation of cellular process","16835","14844","c(""GO:0009987"", ""GO:0048518"", ""GO:0050794"")"
"query_1","TRUE","2.20679225930572e-06","4315","1006","341","0.3389662027833","0.079026651216686","GO:0009058","GO:BP","biosynthetic process","16835","3661","GO:0008152"
"query_1","TRUE","2.35774457455393e-06","4348","1006","343","0.340954274353877","0.078886844526219","GO:0048518","GO:BP","positive regulation of biological process","16835","14840","c(""GO:0008150"", ""GO:0050789"")"
"query_1","TRUE","2.36875808471796e-06","3861","1006","311","0.309145129224652","0.0805490805490806","GO:0051171","GO:BP","regulation of nitrogen compound metabolic process","16835","15640","c(""GO:0006807"", ""GO:0019222"")"
"query_1","TRUE","2.78107531103109e-06","1171","1006","121","0.120278330019881","0.10333048676345","GO:0034613","GO:BP","cellular protein localization","16835","9981","c(""GO:0008104"", ""GO:0070727"")"
"query_1","TRUE","2.96474343026489e-06","1289","1006","130","0.129224652087475","0.100853374709077","GO:0051649","GO:BP","establishment of localization in cell","16835","16008","c(""GO:0051234"", ""GO:0051641"")"
"query_1","TRUE","3.60060112381043e-06","1176","1006","121","0.120278330019881","0.102891156462585","GO:0070727","GO:BP","cellular macromolecule localization","16835","19028","c(""GO:0033036"", ""GO:0051641"")"
"query_1","TRUE","4.25804362799367e-06","2042","1006","185","0.18389662027833","0.0905974534769834","GO:0006796","GO:BP","phosphate-containing compound metabolic process","16835","2752","GO:0006793"
"query_1","TRUE","4.78696081247139e-06","2059","1006","186","0.184890656063618","0.0903351141330743","GO:0006793","GO:BP","phosphorus metabolic process","16835","2749","GO:0044237"
"query_1","TRUE","4.93744476036896e-06","2513","1006","218","0.216699801192843","0.0867489056904099","GO:0006996","GO:BP","organelle organization","16835","2920","GO:0016043"
"query_1","TRUE","8.55375447043924e-06","3245","1006","267","0.265407554671968","0.0822804314329738","GO:0051234","GO:BP","establishment of localization","16835","15692","GO:0051179"
"query_1","TRUE","9.63998888178749e-06","4184","1006","329","0.327037773359841","0.0786328871892925","GO:0044249","GO:BP","cellular biosynthetic process","16835","12692","c(""GO:0009058"", ""GO:0044237"")"
"query_1","TRUE","1.11124644512473e-05","637","1006","76","0.0755467196819085","0.119309262166405","GO:0033365","GO:BP","protein localization to organelle","16835","9400","GO:0034613"
"query_1","TRUE","1.34866921029096e-05","908","1006","98","0.0974155069582505","0.107929515418502","GO:0009057","GO:BP","macromolecule catabolic process","16835","3660","c(""GO:0043170"", ""GO:1901575"")"
"query_1","TRUE","2.03148410944608e-05","2225","1006","195","0.193836978131213","0.0876404494382022","GO:0031325","GO:BP","positive regulation of cellular metabolic process","16835","8257","c(""GO:0009893"", ""GO:0031323"", ""GO:0044237"", ""GO:0048522"")"
"query_1","TRUE","3.43705325929885e-05","3113","1006","255","0.253479125248509","0.0819145518792162","GO:0006810","GO:BP","transport","16835","2766","GO:0051234"
"query_1","TRUE","3.79801410397321e-05","4420","1006","341","0.3389662027833","0.0771493212669683","GO:0060255","GO:BP","regulation of macromolecule metabolic process","16835","17032","c(""GO:0019222"", ""GO:0043170"")"
"query_1","TRUE","5.59784609210307e-05","771","1006","85","0.084493041749503","0.110246433203632","GO:0044265","GO:BP","cellular macromolecule catabolic process","16835","12702","c(""GO:0009057"", ""GO:0044248"", ""GO:0044260"")"
"query_1","TRUE","6.11616239241816e-05","1064","1006","108","0.107355864811133","0.101503759398496","GO:0031399","GO:BP","regulation of protein modification process","16835","8297","c(""GO:0006464"", ""GO:0032268"")"
"query_1","TRUE","7.12969712239812e-05","617","1006","72","0.0715705765407555","0.116693679092382","GO:0070647","GO:BP","protein modification by small protein conjugation or removal","16835","18983","GO:0006464"
"query_1","TRUE","0.000106520374997104","2606","1006","218","0.216699801192843","0.0836531082118189","GO:0009893","GO:BP","positive regulation of metabolic process","16835","4213","c(""GO:0008152"", ""GO:0019222"", ""GO:0048518"")"
"query_1","TRUE","0.000136248424173051","639","1006","73","0.0725646123260437","0.114241001564945","GO:0009894","GO:BP","regulation of catabolic process","16835","4214","c(""GO:0009056"", ""GO:0019222"")"
"query_1","TRUE","0.00013636941085359","1646","1006","150","0.149105367793241","0.0911300121506683","GO:0031324","GO:BP","negative regulation of cellular metabolic process","16835","8256","c(""GO:0009892"", ""GO:0031323"", ""GO:0044237"", ""GO:0048523"")"
"query_1","TRUE","0.000163831648518291","10589","1006","710","0.705765407554672","0.0670507130040608","GO:0008152","GO:BP","metabolic process","16835","3531","GO:0008150"
"query_1","TRUE","0.000199126292711984","2106","1006","182","0.180914512922465","0.0864197530864197","GO:0051173","GO:BP","positive regulation of nitrogen compound metabolic process","16835","15642","c(""GO:0006807"", ""GO:0009893"", ""GO:0051171"")"
"query_1","TRUE","0.000409030857634811","596","1006","68","0.0675944333996024","0.114093959731544","GO:0044092","GO:BP","negative regulation of molecular function","16835","12633","GO:0065009"
"query_1","TRUE","0.000462874816160939","538","1006","63","0.062624254473161","0.117100371747212","GO:0031329","GO:BP","regulation of cellular catabolic process","16835","8261","c(""GO:0009894"", ""GO:0031323"", ""GO:0044248"")"
"query_1","TRUE","0.00052448504005593","2410","1006","201","0.199801192842942","0.083402489626556","GO:0010604","GO:BP","positive regulation of macromolecule metabolic process","16835","4750","c(""GO:0009893"", ""GO:0043170"", ""GO:0060255"")"
"query_1","TRUE","0.000540691868187681","2941","1006","237","0.23558648111332","0.0805848350901054","GO:1901362","GO:BP","organic cyclic compound biosynthetic process","16835","24667","c(""GO:1901360"", ""GO:1901576"")"
"query_1","TRUE","0.000659348585250035","1128","1006","109","0.108349900596421","0.0966312056737589","GO:0071705","GO:BP","nitrogen compound transport","16835","19684","GO:0006810"
