"","LN.F1.113.aa","LN.F1.113.ae","LN.F1.113.ag","LN.F1.113.ak","LN.F1.113.am","LN.F1.113.b","LN.F1.113.h","LN.F1.113.p","LN.F1.132.af","LN.F1.132.aj","LN.F1.132.aq.2","LN.F1.132.ar","LN.F1.132.as","LN.F1.132.at","LN.F1.132.aw","LN.F1.132.ax","LN.F1.132.ay","LN.F1.132.ba","LN.F1.132.bc","LN.F1.132.be.2","LN.F1.132.bh","LN.F1.132.t","ME.F1.134.a","ME.F1.134.b","ME.F1.136.h","ME.F1.136.i","ME.F1.136.j","ME.F1.139.af","ME.F1.139.ag","ME.F1.141.at","ME.F1.141.q","ME.F1.141.r","ME.F1.141.t","ME.F1.141.u","ME.F1.141.w","ME.F1.144.u","ME.F1.145.ad","ME.F1.145.d","ME.F1.145.g","ME.F1.145.i","ME.F1.145.w","ME.F1.146.aa","ME.F1.146.ab","ME.F1.146.ac","ME.F1.146.be","ME.F1.146.bf"
"Ppp2r1a",8.38352553140825,7.99471508578142,8.20562315181641,8.45006451166909,8.03596150458538,7.78791310432446,8.2737974215985,8.14847119883955,8.21550363367324,8.72004890578762,8.43924902748182,8.3354234784628,8.60364004876148,8.37773561066728,8.4140355079664,8.39781049070776,8.53656509908535,8.65293556118784,8.85723165954148,8.2946664264807,8.16941951299395,8.35423490263984,8.40004326450267,8.30791865316995,8.19661486000099,8.17280771183763,8.20486951520419,8.16907927272434,8.22004854743601,8.13793463745131,7.97211205817755,7.74811006628612,8.11332035548147,8.27363637475445,8.44055232850225,8.2084321685372,7.67991292729037,7.83718501659349,7.67322072802369,8.15121303823544,7.86438193800789,8.43059732681484,8.69130316041716,8.37491163540386,8.10799586671486,8.2832857943831
"LOC107402623",6.11502929297249,5.97416020616282,5.42851773725714,5.96297119469824,5.89624976388577,5.90556189379242,5.4318275990226,5.97571514852963,5.69573511172937,5.32501576424681,5.94429763423836,5.81809641029614,5.4122477627681,5.33311182085459,5.47824488013254,5.32668650827259,6.10688071616937,5.73791016828805,5.13679936646265,5.68362842750951,6.00192129498803,5.34526630694971,5.15755806326882,5.15189544721108,5.10008266215266,5.30971036075522,4.90097189045209,6.35887995237359,4.9831704079941,6.28379185547076,5.5068451405764,6.1792553911457,5.55838363921195,5.9571412437538,5.54824811763832,4.69417664959335,5.06065484970814,5.55984157227976,4.90833095520033,5.55071693126055,4.89855495924167,5.0522846091923,4.83860932116746,5.24132123841022,5.43043283781661,4.95305598980441
"C1H18orf32",5.89639159722628,5.94231270862216,5.98511898606734,6.25950138753875,5.97744432029906,6.32595267013253,6.36639165134704,5.68612413436395,5.76268786016524,5.53085450032935,5.86617538424473,6.05233292381953,6.1749214884314,5.96436918357924,6.02695640096832,5.7089774129322,5.65327788160749,6.42460989330496,5.97379483184474,6.24379333807063,6.79520305837338,6.13716965257002,5.77616000485176,5.8120237776056,5.65581307167754,5.91925847879568,5.82614373271532,5.61695961785239,5.63928707432345,5.51395714634618,5.98513330218114,5.69117909298406,5.96154056159311,5.70814042049892,5.72762968587752,5.73274035376056,5.79491675363578,6.16732529752946,5.84514302087282,6.11507962515074,6.03733551418013,6.05780486381361,5.82574259984493,6.07593640467852,5.9721862767937,6.01577007191519
"LOC102905242",5.19979421829527,5.10275385923186,5.03397455688304,5.09511700467787,5.25558469826167,5.27903541456326,5.10005307068842,5.18160937478777,4.96013769714427,5.00158414673184,5.34181189660612,5.35901675467607,5.16544990404799,5.20385399059986,5.29258727320305,5.29821795417831,4.98232099268948,5.1770273848428,4.97289931675392,5.05094029050353,5.40805880707326,4.96447132763052,5.22924291566949,5.52623709541432,5.3827710373869,5.09241171709086,5.04978384257246,5.22717891151684,5.53406324406494,5.62304781275807,5.19336804635896,5.62836903901579,5.85862736877864,5.23563606886154,5.08134816475008,5.40230912775837,5.55943626149402,5.26821143263888,5.24309993510886,5.42255112588452,5.17714557251781,4.71815482257294,5.53853211402744,5.46741084953407,5.06036469021628,5.51917775489648
"LOC102906083",5.86632706274585,5.43505619007263,5.24838780704808,5.20283726426142,5.41951471676096,5.20536784148104,5.22174049624779,5.34884679440636,4.96013769714427,5.07442457581701,5.30014259867137,5.29538703146891,5.20415275499235,5.47683210573616,5.37574847343928,5.32668650827259,5.38448588366968,5.03307195141064,4.97289931675392,5.60336212107372,5.08685526070717,5.34526630694971,5.50594496480055,5.31632721887991,5.56339849178343,5.37380945132006,5.63213648132101,5.54842844461862,5.60519217779448,5.51395714634618,5.5954184170461,5.64965568529071,5.96154056159311,5.66828008116543,5.46854118278503,5.19522997454876,5.55943626149402,5.76427134404312,5.43248584079985,5.30414011234579,5.49611193655613,5.25840248775662,5.04454788161261,5.46741084953407,5.5176740897827,5.41913646536069
"LOC102922988",6.11502929297249,5.48228459185712,5.42851773725714,6.05213630041823,5.44973425429982,5.41360091537921,5.86103474644016,5.77174982852766,5.2928902416654,6.06390740801181,5.59867672351646,5.63455519043343,5.71961271254196,5.13319216024713,5.32097266949813,5.35447503841997,5.45744770569283,5.87150323857852,5.59088692576394,5.39289044164287,5.18834045168915,5.19784068743825,5.63601551993532,5.75978465811467,5.20239827254222,5.60055003999831,5.23981397096122,6.19779423034827,5.73636384473253,5.96464252828254,5.5954184170461,5.39247812962638,5.68711848513807,5.85621198569313,5.54824811763832,6.08092012130671,5.5958980993674,6.45839755560202,6.05408904916818,5.85537850399534,5.95872012042619,5.81326188103494,5.65402116353251,5.50789416143482,6.44041389477836,5.82942298894098
"LOC121820875",5.59660590151998,5.33459350431782,5.12486545057953,5.09511700467787,5.2902737893406,5.44497625793236,5.29607951805405,5.52906618370183,5.08282679831939,4.83798803251857,5.49517944701512,5.41937475007114,5.08368445552865,5.23757008098139,5.17139954632223,5.35447503841997,4.80481772212413,5.34383417099798,5.23369290298761,5.28996739647586,5.03227606873842,5.29819930878744,5.08086248111417,5.39048327103387,5.48925656185349,5.65125663911195,5.58949169387387,5.35809932047716,5.45855799394213,5.32941598703695,5.15259828835898,5.06281841078801,5.59183292027091,4.97455136419235,5.3381187346574,5.44882228492126,5.2678583936999,5.21991791830792,5.71274371113607,5.39980046656863,5.42410840992711,5.21036471466758,5.04454788161261,5.02098881510838,5.43043283781661,5.38384736111488
"Peg3",8.02382958559868,8.23391281630715,8.46062288791387,8.09063085507235,8.35198611198604,8.17161638242029,7.78452423354925,8.43428244802279,9.02379156115739,8.51522525898647,8.93482285799188,8.37725410019007,7.82409447565096,7.80223823931563,7.79647442453393,7.91100919088964,8.18344293342328,7.89395543589695,7.96476959572767,8.25438141639732,8.01709406354036,8.77852090994636,8.46947877872717,8.97909530530939,8.91574048408308,8.87483197875974,9.26914467707633,8.05921889935259,9.25241505302961,8.31007300073431,8.76011759431967,8.92997472173634,8.27459059074738,7.81590132667522,8.74995600843217,8.39797415228939,8.11210485850197,8.158664604233,8.38653305887233,8.31171711344154,8.86910751806339,8.60000762735696,8.02918977263301,8.0996175922837,8.79904165580122,8.51491463217773
"Nat14",5.14597143396027,5.65485643439722,5.74997580963179,4.93205922858249,5.44973425429982,4.94883466052209,5.18265114930675,5.30926838428223,4.96013769714427,4.92317605704824,4.89425057764398,5.15639916977837,5.27777034306147,5.01770677243014,4.51677284509504,4.79351540034359,4.49465977870127,5.26347992519315,5.08493844316603,5.13652534539434,4.77853545511404,4.89687031062911,5.32890957726485,5.05949553296364,5.29611260720419,5.00914302059021,5.35067289327509,5.07897212381677,5.24577109047699,5.18791327471448,5.41133209249619,5.25441379653736,5.29417735401174,4.72218890251,5.38320414665162,5.25060735549477,5.11624860276929,4.7248610228097,5.11224734001979,5.22682098826967,5.01194395444232,5.34881897688777,5.04454788161261,4.73990542349451,5.3843164483337,5.30993160656768
"LOC102908074",4.74681551497254,4.3547813015032,4.69790222070272,5.05668625380064,4.43004022184246,4.3460384817383,4.4502236352946,4.58556916106883,4.82031930802317,4.51894006192703,4.95444410208747,4.6974310283161,4.66813712322465,4.62063552228977,4.7894895651301,4.74541310595878,4.39226721675856,4.6627465318721,4.52544554581264,4.67600896727186,4.91360808251389,4.82421359942036,5.58561347418514,6.08797607467252,6.39986863511991,6.52575966680816,6.76978086361155,5.51268178309798,4.85621089270475,5.18791327471448,4.81184637272251,5.36614094811249,6.01013037041664,4.97455136419235,5.08134816475008,5.49360400639249,5.11624860276929,5.4434496265371,4.96324342332068,4.40242001311205,5.14606781126519,5.43274772808185,5.918778401308,5.85357267407204,5.06036469021628,5.55077770431552
"Calm3",8.86064453303252,9.05196645125235,8.74873922768788,8.89134735923376,8.96706554344146,8.6310217100496,9.15270894235988,8.87702828022899,8.92771796496287,8.69112227762296,8.58584605584556,9.2992668560722,8.84658740467476,9.25616681638238,9.31886885490255,8.80885803236111,9.31415080854227,9.03865535960713,8.72566747791256,9.13878508066759,9.49606946284625,8.84947358418465,8.65686312515078,8.51934355721552,8.90047886525165,8.58453294759,8.86671741403571,8.82447370248602,8.64765439462948,9.14302544206606,9.08092883623704,9.36387246844459,9.06787296664552,8.93520628911877,8.83260898517254,9.24411071727304,8.89344072723171,8.55154437184149,8.6552674475779,8.0186966128176,8.71715183043455,8.39323697102586,8.72025948005308,8.78615054839738,8.59884100755508,8.46995547532916
"Tmem160",6.91372781786345,7.25105548226331,7.08044511313161,6.92665040690675,7.53688899418232,7.32510593294155,7.14671574302322,7.42661866837393,7.11130944188156,7.16530399477681,7.30413978873139,7.10099051489946,7.08918985781544,7.06764450513006,7.13014001289914,6.91326419808702,6.83396245193192,6.83021474241351,7.12738344822821,7.13653337894759,7.10866150925405,6.85272616716463,6.86620094117952,6.58635600502846,6.82341310759386,6.80509514279848,6.69595171297629,7.11618926807086,7.13693955065163,6.94804562701222,6.9217759876664,6.76607124804489,6.56882162119426,6.70806203726569,6.92711197388352,6.78309249509718,6.92983855051025,7.03343028503861,6.89379608827254,6.66783141153251,6.78275325329424,6.63512943935613,7.08997643129613,6.93919155430074,7.1829230806193,7.02789210786702
"Bicra",4.825727437812,4.71455726309587,5.03397455688304,5.09511700467787,4.92972356288065,4.66895313945571,4.74394658277464,4.98441525585001,4.96013769714427,5.32501576424681,5.30014259867137,4.6974310283161,5.04033721457254,5.20385399059986,4.99824384780032,5.20830517447126,5.13329241708748,4.86588813308811,4.84686440188432,5.39289044164287,4.84848312333709,4.96447132763052,5.22924291566949,4.84552503836431,4.71256660797192,5.00914302059021,4.17428162996787,4.90660850291663,4.78582844740641,4.98086561378512,5.15259828835898,4.91271561803361,4.94961450974472,4.81405727434437,4.81909567463684,4.69417664959335,4.63969778156005,5.26821143263888,4.78816177121041,4.95566085542851,5.01194395444232,4.93201855931706,5.36534737728618,4.65378700469729,4.7715976647834,4.77927186662346
"Trappc6a",4.5633388580956,5.38589075654975,5.52479091932003,5.16809215441985,5.47921357372139,5.3813775864941,5.14213308798862,5.71530969199318,5.08282679831939,4.83798803251857,4.89425057764398,5.47682756740083,4.89813995281336,5.16908875890244,5.23361911060725,4.79351540034359,5.42152364844951,4.98037167295944,4.12439211239111,4.60701355550705,4.70271453520755,5.14407817001565,4.80924854656896,5.10668683960724,5.43719505610102,5.49246111399315,5.63213648132101,4.69684723199165,5.24577109047699,5.14956921729092,5.19336804635896,4.68483408420456,5.20628633513392,5.23563606886154,5.4266334082151,5.01001976875853,5.40164422802156,5.66619487676809,5.62616182607901,5.5094770199155,5.6074166717571,5.1601733566717,5.53853211402744,5.42552460817812,5.5176740897827,5.23096869033301
"Qpctl",5.08936069738435,5.22464177990034,4.69790222070272,5.20283726426142,4.88071343885692,4.89913440971085,4.8596321714938,5.03726298231612,4.74175993490533,4.37426016234453,5.06504935588849,4.56983545331692,5.04033721457254,5.16908875890244,5.34868082280918,4.88278788862612,4.73734164549111,4.58270663104193,5.03042571702488,4.79919610650546,4.9746783552126,4.31838198963764,5.2966389141594,4.95820464522905,4.71256660797192,5.00914302059021,4.90097189045209,4.61410924686532,5.3780065154661,4.71983495627852,5.06617660394514,4.91271561803361,4.94961450974472,4.50141827321561,5.3381187346574,5.13695387565163,5.35872802990834,4.80223857075169,4.96324342332068,5.25318113668538,5.14606781126519,5.1601733566717,5.26823141400144,5.19025274643011,5.233955039056,5.30993160656768
"LOC121828709",4.5633388580956,4.71455726309587,4.76298726488529,5.05668625380064,4.77441736223714,4.52536919659948,5.10005307068842,5.34884679440636,6.7841890776716,7.15110628196835,6.66988662307303,5.81809641029614,6.70571523995249,6.37451373204615,5.29258727320305,6.63329034586679,4.86767929795378,4.39117966814693,7.10508115527095,5.68362842750951,6.4278211952949,4.56216004184004,5.04035016993331,4.47927331864124,4.71256660797192,4.57810712735436,4.36167919390341,4.52175307885611,5.19806385183427,5.10983345014266,5.41133209249619,4.82819422665052,4.40560888599758,5.44728742656996,4.44779679228195,4.47922803924849,4.43614659140707,5.26821143263888,4.26096617774666,4.67823197558893,5.14606781126519,4.99391811695958,4.46109588085281,4.55758353583587,5.5176740897827,4.89854404524305
