"","gene_id","colors","Freq"
"1","Aak1","blue",1
"2","Aars2","blue",1
"3","Abcc5","blue",0
"4","Abcc9","blue",0
"5","Abhd10","blue",0
"6","Abhd12","blue",0
"7","Abhd17a","blue",1
"8","Abhd6","blue",0
"9","Acacb","blue",1
"10","Acad10","blue",0
"11","Ackr2","blue",1
"12","Acot13","blue",1
"13","Acp1","blue",0
"14","Acss1","blue",0
"15","Acta2","blue",1
"16","Actc1","blue",0
"17","Actn1","blue",1
"18","Acyp2","blue",0
"19","Adam17","blue",1
"20","Adam9","blue",1
"21","Adck5","blue",0
"22","Adcy4","blue",1
"23","Adcy6","blue",1
"24","Adk","blue",0
"25","Adsl","blue",0
"26","Adss2","blue",0
"27","Aen","blue",0
"28","Agap1","blue",0
"29","Agap3","blue",1
"30","Aggf1","blue",0
"31","Ahcyl1","blue",1
"32","Ahcyl2","blue",0
"33","Ak2","blue",1
"34","Alas2","blue",0
"35","Aldh9a1","blue",0
"36","Alg2","blue",1
"37","Alkbh5","blue",1
"38","Alkbh8","blue",0
"39","Amd1","blue",0
"40","Ampd1","blue",0
"41","Ampd3","blue",0
"42","Amz2","blue",0
"43","Ank2","blue",0
"44","Ankra2","blue",1
"45","Ankrd10","blue",0
"46","Ankrd39","blue",0
"47","Ankrd40","blue",1
"48","Ankrd46","blue",0
"49","Ano1","blue",1
"50","Ano5","blue",0
"51","Anp32b","blue",1
"52","Anp32e","blue",1
"53","Ap1ar","blue",1
"54","Ap1s2","blue",0
"55","Ap5z1","blue",1
"56","Apeh","blue",0
"57","Aqp3","blue",1
"58","Arap1","blue",1
"59","Arf6","blue",1
"60","Arhgap19","blue",0
"61","Arhgap21","blue",0
"62","Arhgap5","blue",0
"63","Arhgef15","blue",1
"64","Arl11","blue",0
"65","Arl2","blue",0
"66","Arl5b","blue",0
"67","Armc6","blue",0
"68","Arrb2","blue",1
"69","Art3","blue",0
"70","As3mt","blue",0
"71","Asah1","blue",0
"72","Asb1","blue",1
"73","Asb11","blue",0
"74","Asb16","blue",0
"75","Ash2l","blue",0
"76","Asph","blue",0
"77","Asrgl1","blue",0
"78","Atad1","blue",0
"79","Atf5","blue",0
"80","Atp1a1","blue",1
"81","Atp2b1","blue",0
"82","Atp2b4","blue",0
"83","Atp5mc2","blue",0
"84","Atp5mf","blue",0
"85","Atp6v0d1","blue",1
"86","Atp6v0e2","blue",0
"87","Atp6v1c1","blue",0
"88","Atp6v1e1","blue",0
"89","Atp6v1h","blue",0
"90","Atp7a","blue",0
"91","Atpaf2","blue",0
"92","Atpsckmt","blue",0
"93","Atraid","blue",0
"94","B3galt4","blue",1
"95","Babam1","blue",1
"96","Babam2","blue",0
"97","Bace2","blue",1
"98","Bag2","blue",0
"99","Barx2","blue",1
"100","Baz2a","blue",1
"101","Bcap31","blue",0
"102","Bcat2","blue",0
"103","Bcl2","blue",0
"104","Bcl7a","blue",0
"105","Bcl7b","blue",0
"106","Bend7","blue",0
"107","Bicd2","blue",1
"108","Bicra","blue",1
"109","Bicral","blue",0
"110","Blmh","blue",1
"111","Bloc1s6","blue",1
"112","Bmpr1b","blue",0
"113","Bola3","blue",0
"114","Brdt","blue",1
"115","Btbd8","blue",0
"116","Btf3","blue",0
"117","Bud23","blue",1
"118","C11H1orf21","blue",1
"119","C11H1orf74","blue",1
"120","C19H18orf21","blue",0
"121","C19H18orf25","blue",0
"122","C19H5orf63","blue",0
"123","C1H15orf40","blue",1
"124","C1H18orf32","blue",0
"125","C1H19orf12","blue",1
"126","C1H19orf47","blue",0
"127","C21H6orf136","blue",1
"128","C21H6orf89","blue",0
"129","C2cd3","blue",1
"130","C2H1orf50","blue",0
"131","C4H11orf49","blue",0
"132","C4H9orf78","blue",0
"133","C5H19orf53","blue",0
"134","C6H1orf162","blue",0
"135","C6H1orf43","blue",0
"136","C6H1orf52","blue",0
"137","C7H15orf61","blue",0
"138","C8H16orf89","blue",1
"139","C8H1orf35","blue",1
